X,Y,OBJECTID,ADDRESS,NAME,ADDRID
-77.07225235611817,38.907615325050834,126,37TH & O STREET NW,BISHOP JOHN CARROLL (STATUE),900692
-77.01097799645251,38.892739716147439,127,NEW JERSEY AVE & CONSTITUTION AVE NW,ROBERT A. TAFT MEMORIAL,904286
-77.041484229734934,38.892320339329487,128,CONSTITUTION AVE & 18TH ST NW,GENERAL JOSÉ GERVASIO ARTIGAS,905005
-77.015710150587438,38.891207698874837,129,PENNSYLVANIA AVE & 3RD ST NW,GEORGE GORDON MEADE MEMORIAL,903472
-77.025540796109013,38.892305410571929,130,10TH ST & CONSTITUTION AVE NW,CAPTAIN NATHAN HALE (STATUE),905743
-77.045239854449164,38.895026373353858,131,VIRGINIA AVE & 20TH STREET NW,GENERAL JOSE DE SAN MARTIN MEMORIAL,901630
-77.05100012904488,38.878219437555423,132,OHIO DR & E BASIN DR SW,LYNDON BAINES JOHNSON MEMORIAL GROVE ON THE POTOMAC,906930
-77.026508962834313,38.904017208916883,133,MASSACHUSETTS AVE & L ST NW,SAMUEL GOMPERS MEMORIAL,900385
-77.032649567380957,38.896056902480368,134,PENNSYLVANIA AVE & 14TH ST NW,WORLD WAR I MEMORIAL,902090
-77.021573538813641,38.893579622449863,135,PENNSYLVANIA AVE & 7TH ST NW,GRAND ARMY OF THE REPUBLIC MEMORIAL (STEPHENSON),901849
-77.046410239082093,38.894876322124389,136,VIRGINIA AVE & 21ST STREET NW,"DISCUS THROWER (WASHINGTON, D.C.)",900000
-77.041501193540654,38.905868676530091,137,CONNECTICUT AVENUE NW & M STREET NW,HENRY WADSWORTH LONGFELLOW MEMORIAL,906262
-77.046969659646592,38.911028272123154,138,MASSACHUSETTS AVENUE NW & 21ST STREET NW,MOHANDAS GANDHI MEMORIAL,905742
-77.015730824767957,38.894541435974212,139,3RD STREET NW & D STREET NW,BRIGADIER GENERAL ALBERT PIKE,900054
-77.040330585151565,38.893398273542914,140,17TH STREET NW & C STREET NW,JOSÉ CECILIO DE VALLE STATUE,904539
-77.036543200420965,38.881325713574476,141,EAST BASIN DRIVE SW,JEFFERSON MEMORIAL,294411
-77.019136774385473,38.89715713488885,142,500 F STREET NW,ASHES TO ANSWERS,299998
-77.039746604743172,38.908149717057533,143,1732 MASSACHUSETTS AVENUE NW,BERNARDO O'HIGGINS (MOREL),241756
-77.02220131454321,38.897571596275149,144,,DAGUERRE MEMORIAL,294248
-77.049689217811249,38.911977112974895,145,2217 MASSACHUSETTS AVENUE NW,ELEFTHERIOS VENIZELOS (SCULPTURE),300774
-77.018763965293118,38.921899575872033,146,2300 4TH STREET NW,FORTITUDE (KING),291433
-77.025235805214805,38.898205262627911,147,924 G STREET NW,HOMELESS JESUS,285571
-77.050799960209517,38.911753353644812,148,1606 23RD STREET NW,MUSTAFA KEMAL ATATÜRK (ANAHTAR),234878
-77.055953067660738,38.91646864408974,149,2525 MASSACHUSETTS AVENUE NW,"MUSTAFA KEMAL ATATÜRK (EMBASSY OF TURKEY, WASHINGTON, D.C.)",218950
-77.061031765544726,38.91992192420129,150,3051 MASSACHUSETTS AVENUE NW,NELSON MANDELA (DOYLE),220389
-77.039661884118445,38.892866200506724,151,17TH STREET NW,QUEEN ISABELLA (SCULPTURE),294187
-77.045827924075411,38.91029595800071,152,2020 MASSACHUSETTS AVENUE NW,SARASWATI (SCULPTURE),294535
-77.048668520573671,38.912312902443645,153,1621 22ND STREET NW,VASSIL LEVSKY (SCULPTURE),234908
-77.061538298726617,38.919814434196333,154,MASSACHUSETTS AVENUE NW,WINSTON CHURCHILL (MCVEY),310227
-77.043443858218964,38.881440210001749,155,OHIO DRIVE SW,AIR MAIL MARKER,294436
-77.034302297819607,38.898432850931066,156,PENNSYLVANIA AVENUE NW,ALBERT GALLATIN STATUE,294318
-77.0486245972738,38.899769202593461,157,H STREET NW,ALEXANDER PUSHKIN STATUE,310379
-76.995144274842048,38.905483403089406,158,FLORIDA AVENUE NE,ALICE COGSWELL STATUE,309149
-76.993147408983845,38.905784902665388,159,FLORIDA AVENUE NE,GALLAUDET UNIVERSITY BISON SCULPTURE,310885
-76.994399319012231,38.906271780626554,160,LINCOLN CIRCLE NE,GALLAUDET UNIVERSITY EDWARD MINER GALLAUDET STATUE,309153
-76.994076037230187,38.906305095583271,161,LINCOLN CIRCLE NE,GALLAUDET UNIVERSITY ROCKWALLS,309154
-77.024588993253161,38.889140372563361,162,JEFFERSON DRIVE SW,ALL HALLOWS GUILD TRAVELING CAROUSEL,304242
-77.088251902877261,38.93764783051914,163,NEBRASKA AVENUE NW,AMERICAN UNIVERSITY LEO TOLSTOY STATUE,310948
-77.011768646718807,38.88743176695283,164,INDEPENDENCE AVENUE SW,JAMES MADISON STATUE,294424
-77.041190060861808,38.886756674641852,165,INDEPENDENCE AVENUE SW,JAPANESE LANTERN,294418
-77.061098512077706,38.913082462980725,166,R STREET NW,ARMILLARY SPHERE,294336
-77.052143431257761,38.888708378092929,167,LINCOLN MEMORIAL CIRCLE SW,ARLINGTON BRIDGE EQUESTRIAN STATUES,294433
-77.015580371623884,38.901228899704698,168,I STREET NW,ARIA SCULPTURE,310949
